USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
teamlead           854   7.0 12.8 39655804 2140540   ??  R     9:28PM   3:49.05 /Applications/PyCharm.app/Contents/MacOS/pycharm
teamlead          1180   0.0  0.1 33759452  14164   ??  S     9:35PM   0:00.27 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
teamlead          1167   0.0  0.0 33742000   7016   ??  S     9:34PM   0:00.03 /usr/libexec/backgroundassets.user
root              1163   0.0  0.0 33743120   5036   ??  Ss    9:34PM   0:00.04 /usr/libexec/ASPCarryLog
teamlead          1161   0.0  0.1 33719436  11452   ??  S     9:33PM   0:00.35 /usr/libexec/promotedcontentd
root              1159   0.0  0.0 33728860   3880   ??  Ss    9:33PM   0:00.04 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedTaskService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedTaskService
_installcoordinationd  1158   0.0  0.0 33712056   4428   ??  Ss    9:33PM   0:00.05 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
teamlead          1157   0.0  0.1 33784608  24480   ??  S     9:33PM   0:01.25 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
teamlead          1153   0.0  1.7 1220012344 281804   ??  S     9:33PM   0:13.00 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --enable-instaserp --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=45 --time-ticks-at-unix-epoch=-1710692853461583 --launch-time-ticks=367267700 --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=240
teamlead          1139   0.0  0.1 33757856   8848   ??  S     9:33PM   0:00.05 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
teamlead          1130   0.0  0.1 33763588   9340   ??  S     9:33PM   0:00.14 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
teamlead          1121   0.0  0.1 33768028  12020   ??  S     9:33PM   0:00.19 /System/Library/CoreServices/mapspushd
